document	title	document_count	title_count
أنهى طيارو شركة لوفتهانزا الألمانية للطيران إضرابهم في مدينة ميونيخ وذلك بعد أن استمر الإضراب ثمان ساعات حسبما كان مخططا له. وقال متحدث باسم اتحاد كوكبيت للطيارين الألمان مساء اليوم الأربعاء إن الاتحاد راض عن مسار الإضراب. واضطرت لوفتهانزا لإلغاء 140 رحلة من ميونيخ وإليها بسبب الإضراب والاستعانة بطيارين متطوعين لتنفيذ الرحلات الدولية، غير أن جدول رحلات الشركة سيظل متأثرا مساء اليوم وصباح يوم غد الخميس بهذا الإضراب رغم انتهائه. وتعتبر ميونيخ من المحطات الرئيسية في الطيران الألماني حيث يربط مطارها الدولي بين العديد من مطارات العالم ويمثل أهمية خاصة لشركة لوفتهانزا. وقالت متحدثة باسم الشركة إنه ليس هناك حتى مساء اليوم أي ركاب 'عالقون' يحتاجون للمبيت على حساب الشركة بسبب تأجيل رحلاتهم جراء الإضراب ولكن الشركة اتخذت رغم ذلك إجراءات وقائية بهذا الاتجاه. وقالت الشركة في وقت سابق إن الإضراب الذي بدأه الطيارون منذ أسبوعين على مراحل متفرقة سيكلفها نحو 77.6 مليون دولار.	طيارو لوفتهانزا ينهون إضرابا تسبب في إلغاء 140 رحلة	144	9
أصدر وزير العمل والتنمية الاجتماعية د. علي الغفيص قرارا، بتعديل فترة صلاحية تأشيرات العمل الصادرة لمنشآت القطاع الخاص فقط (دون التأشيرات الصادرة للأجهزة الحكومية والعمالة المنزلية)، لتصبح سنة واحدة بدلا من سنتين. ويأتي قرار الوزير متسقا مع ما ورد في المادة الحادية عشرة، مكررا من نظام العمل القاضي بأن للوزير اتخاذ الإجراءات التي من شأنها أن تكفل تحسين أداء سوق العمل، حيث بدأت الوزارة بالعمل بموجب هذا القرار.	«سنة واحدة» فترة صلاحية تأشيرات منشآت القطاع الخاص	68	8
رغم الأحوال الاقتصادية التي تعيشها مصر في ظل أزمة انتشار فيروس كورونا، إلا أن الحكومة نجحت في شراء كمية إجمالية بلغت 3مليون و 520 ألف طن قمح من المزارعين، بزيادة قدرها 300 ألف طن عن موسم العام الماضي لاستخدامها في إنتاج الخبز البلدي المدعم. وكشفت خطة وزارة التموين والتجارة الداخلية تشكيل لجان دائمة لاستلام الأقماح المحلية بكافة أماكن التوريد قبل بداية الموسم، واستمر لمدة ثلاثة أشهر اعتبارا من 15 إبريل حتى 15 يوليو، وعلى مدار الثلاثة أشهر كانت كافة مواقع ولجان الاستلام تعمل دون توقف وعلي أكثر من وردية في عدد 450 نقطة استلام وتوريد. وتمكنت الوزارة في الحصول على القمح بعد الإعلان عن سعر عادل قبل بداية الموسم، حيث يتم استلام القمح بسعر 700 جنيه للأردب درجة نظافة 23.5 قيراط، و685 جنيها للأردب درجة نظافة 23 قيراطا، و670 جنيها، لأردب درجة نظافة 22.5 قيراط مما أدى الى تشجيع المزارعين على توريد الأقماح المحلى المخصصة لإنتاج الخبز البلدى المدعم. وقال الدكتور على المصيلحي، وزير التموين والتجارة الداخلية، أن الموسم الحالي يعد واحدا من أنجح مواسم التوريد للقمح المحلى نتيجة عدة عوامل أولها دعم رئيس الوزراء ووزير المالية من خلال توفير المبالغ المالية اللازمة أسبوعيا، وكذلك تكاتف كافة الأجهزة المعنية والعمل كفريق واحد. وأضاف وزير التموين، أن تحسن الظروف المناخية ساهم في زيادة ووفرة المحصول وبالتالي زيادة معدلات التوريد، فضلا عن زيادة السعات التخزينية ودخول 3 صوامع جديدة الخدمة، وسرعة سداد مستحقات المزارعين مما ساهم في زيادة معدلات التوريد، لافتا إلى أن معدل التوريد وصل إلى 3.5 مليون طن وبهذا يكون قد تم تحقيق المستهدف ويعد هذا الرقم أعلى معدل توريد منذ سنوات. وكشفت الوزارة أنه تم تسويق ما يقرب من مليون وستمائة وواحد وخمسين ألف طن ويعد ذلك من أعلى معدلات التسويق مقارنة بالسنوات السابقة وتم تخزين هذه الكميات بالكامل داخل صوامع الشركة المصرية القابضة للصوامع والتخزين، ويرجع ذلك إلي دخول ٣ صوامع جديدة الخدمة خلال موسم ٢٠٢٠ وهي صومعة عرب العليقات بالقليوبية، وصومعة الحمام بمطروح، وصومعة صان الحجر بالشرقية. ورغم جائحة كورونا إلا أنه تم اعداد جداول منظمة لعمليات استلام الأقماح لمنع التزاحم والتكدس أمام أماكن التوزيع بجانب تعقيم وتطهير السيارات المحملة للأقماح قبل دخولها الصوامع وأماكن التوريد الأمر الذى الى زيادة معدلات الاقبال على توريد الأقماح لصالح هيئة السلع التموينية . وكشفت منظمة الأمم المتحدة للأغذية والزراعة «فاو»، إن واردات مصر من القمح ارتفعت إلى 12 مليون طن سنويا لتصبح أكبر مستوردى هذه السلعة الاستراتيجية فى العالم، فيما سترتفع هذه الكميات إلى 15 مليون طن فى عام 2028.	رغم جائحة كورونا.. مصر تنجح في فى شراء 3.5 مليون طن قمح محلى لإنتاج الخبز البلدي	390	16
بلغت حدة الهلع في أوساط لوبي “استيراد استيراد” ذروتها مع تمسك الرئيس المدير العام لشركة “أليانس للتأمينات” بترشحه لرئاسة منتدى رؤساء المؤسسات، وهو المنصب الذي سيطر عليه الرئيس المنتهية ولايته رضا حمياني، الذي ترشح لخلافة نفسه لعهدة ثالثة.	تجاذب بين المصالح الشخصية داخل منتدى رؤساء المؤسسات الصراع بين المستثمرين الشباب ولوبيات الاستيراد يخرج إلى العلن	38	17
أعلن وزير التخطيط المصري عمرو دراج اليوم الاثنين أن بلاده تتفاوض مع السعودية للحصول على قرض بقيمة 500 مليون دولار لتمويل عجز الموازنة وإن التوقيع سيتم خلال الأيام المقبلة. وقال دراج لرويترز إن القرض 'يأتي في إطار حزمة التمويل السعودية لمصر بفائدة ثلاثة بالمئة ويسدد على ثماني سنوات وبفترة سماح عامين'. وتسعى مصر لسد العجز المتفاقم في ميزانيتها كما تتفاوض مع صندوق النقد الدولي على قرض بقيمة 4.8 مليار دولار ستصاحبه على عكس المساعدات العربية شروط مثل إصلاح نظام الدعم وفرض زيادات ضريبية لكن بفائدة أقل.	مصر تتفاوض مع المملكة على قرض بقيمة 500 مليون دولار	86	10
السودان اليوم : وافقت حكومة ولاية شمال كردفان علي الغاء رسوم مساهمة لنفير النهضة المفروضة على (157) سلعة تجارية بأسواق ولاية شمال كردفان، وذلك بمبادرة من اتحاد أصحاب العمل الرامية لدعم نفير نهضة الولاية سنويا عبر الرخصة التجارية ، وفسرت الخطوة بتحقيق مبدأ العدالة بين جميع قطاعات أصحاب العمل ولتكون المساهمة مباشرة من صاحب العمل وحتى لا تترك أثر على السوق. وأكد والي ولاية شمال كردفان مولانا أحمد محمد هارون ان رفع العقوبات علي السودان جاء تتويجا لصبر الشعب السوداني ومجهودات القيادة المركزية. وأشار لدى مخاطبته اللقاء التفاكري والتنويري لمنسوبي اتحاد اصحاب العمل بقاعة امانة حكومة شمال كردفان بحضور الأجهزة التنفيذية والتشريعية وقيادات الإدارة الأهلية، وأشار إلى أن رفع الحظر الاقتصادي على البلاد يتزامن وأن ولاية شمال كردفان تدخل مرحلة التنمية المستدامة وزيادة الانتاج والانتاجية وعلي رأسها مشروعات المياه والتعليم والصحة . واضاف هارون ان فلسفة تمويل مشروعات نفير النهضة مبنية علي شراكة بين الحكومة والجهد الشعبي . وأوضح أن أهم ملامح مرحلة رفع الحظر الإقتصادي ومشروعات التنمية المستدامة توفير الفرص التي يتناقص فيها دور الحكومة لصالح القطاع الخاص. بدوره أعلن مالك الشيخ حاج محمود رئيس اتحاد اصحاب العمل بشمال كردفان أن مبادرتهم الرامية لسحب رسوم مساهمة النفير عن (157) سلعة بأسواق ولاية شمال كردفان والاستعاضة عنها برسوم الرخصة التجارية تجيء لاسناد مرحلة التنمية المستدامة لنفير نهضة شمال كردفان. وأعتبر أن أصحاب العمل هم شركاء اساسيون فى إنجاح مشروعات نفير الولاية وقيادة التحول في الاقتصاد الكلي للدولة . وطالب رئيس اتحاد أصحاب العمل بضرورة الاستفادة القصوى من قرار رفع الحظر الاقتصادي خاصة وان الولاية تتمتع بمحاصيلها الزراعية ومنجاتها الغابية وثروتها الحيوانية وبميز نسبية تصب في مواعين الصادرات العالمية ، وأكد أن ولاية شمال كردفان هي الولاية الأولى في السودان المعنية برفع قرار الحظر الاقتصادي .	أول اجراء بعد رفع الحظر:شمال كردفان تلغي رسوم النفير	275	9
اجتمعت وزيرة الاستثمار والتعاون الدولي المصرية سحر نصر، مع بعثة البنك الدولي، برئاسة لويس شقوير، كبير مستشاري البنك. واتفق الجانبان، على ضرورة الإسراع فى دعم مشروع الإسكان الاجتماعي بتمويل ثاني بقيمة 500 مليون دولار، من أجل توسيع قاعدة المستفيدين منه، حيث أشادت بعثة البنك الدولي، بالنجاح الكبير الذى حققه المشروع والذي ساهم البنك فى تقديم تمويل سابق له بقيمة 500 مليون دولار. وأعربت بعثة البنك الدولي، عن استعدادها لتقديم أية خبرات لمصر فيما يتعلق بآليات إشراك القطاع الخاص في مشروعات الاسكان الاجتماعي، مشيرة إلى أن التجربة المصرية في مجال الإسكان الإجتماعي تعد 'قصة نجاح'، مؤكدة استمرار العمل على تعزيز أوجه التعاون بين البنك ومصر في مختلف القطاعات، وإتاحة جميع الخبرات والإمكانيات بما يحقق أهداف التنمية في مصر. والتقت الوزيرة، بعثة البنك الدولي المكلفة بمتابعة برنامج تنمية سيناء، برئاسة سامح نجيب وهبة، مسؤول الفريق المعاون لبرنامج تنمية شبه جزيرة سيناء بالبنك الدولي. وأكدت نصر أهمية توفير البنك لعدد من المنح لتنمية شبه جزيرة سيناء، حيث تضع القيادة السياسية أولوية لهذا المشروع، والذي سيساهم في مد خطط التنمية الاقتصادية والاجتماعية والتطوير وتوفير الخدمات بجميع المناطق وما يستتبعه من استثمار الطاقات البشرية في هذه المنطقة الواعدة. وتم الاتفاق خلال الاجتماع، على الإسراع فى توفير البنك الدولي، الدعم اللازم للمساهمة فى تنمية شبه جزيرة سيناء، بما يساهم في تحقيق التنمية الشاملة والمستدامة، وتوفير فرص العمل المناسبة لأهالي سيناء.	مصر تطالب البنك الدولي بتوفير تمويل جديد بنصف مليار دولار	214	10
أعلنت 'دبي الجنوب' عن إرساء عقد بقيمة 600 مليون درهم لتطوير المباني السكنية في مشروع 'النبض' المرتقب متعدد الاستخدامات، والواقع في المنطقة السكنية في 'دبي الجنوب'، المحاذية لموقع إكسبو 2020 دبي ومطار آل مكتوم الدولي. وفازت بعقد بناء مشروع المباني السكنية في 'النبض' شركة 'القبضة العالمية لمقاولات البناء'، إحدى أبرز الشركات العاملة في قطاع الإنشاءات في دولة الإمارات. وأعربت 'دبي الجنوب' عن ثقتها في أن تضمن هذه الشراكة دمج أحدث التقنيات المستخدمة في مجال المدن الذكية والاستدامة البيئية بسلاسة في جميع جوانب مشروع 'النبض' السكني، الذي صمم خصيصا ليمنح سكانه حلولا تناسب أساليب الحياة المعاصرة فضلا عن اتسامه بتصاميم حضرية جذابة. وقد وضعت تصورات مشروع 'دبي الجنوب' الحضري الرائد في إمارة دبي، ليسهم في تحقيق محاور السعادة على النحو الذي رسمته خطة دبي 2021. وبهذه المناسبة، أعرب سعادة خليفة الزفين، الرئيس التنفيذي لمؤسسة مدينة دبي للطيران ودبي الجنوب، عن سروره بالتعاقد مع شركة 'القبضة' لتشييد المباني السكنية ضمن مجتمع 'النبض' الناجح في 'دبي الجنوب'، مؤكدا أن النموذج الكامن وراء هذا المجتمع هو 'إعادة اختراع أسلوب الحياة الحضرية' وفقا لقيم السعادة والرفاه المجتمعي، وقال: 'هذا النموذج الجديد الذي لا يضاهى مستلهم من رؤية صاحب السمو الشيخ محمد بن راشد آل مكتوم، نائب رئيس دولة الإمارات رئيس مجلس الوزراء حاكم دبي، إذ يضع السكان في المقام الأول، ويهتم بسعادتهم من خلال التركيز على الأسعار التنافسية، مع احتفائه بالطبيعة وبالتنوع السكاني والثقافي. وقد أثبتت هذه التركيبة نجاحها الكبير خلال المبيعات التي جرت في الربع الرابع من العام 2016، حين تجاوزنا أهدافنا وأحرزنا نسبة مبيعات تخطت 90 بالمئة، وقد وجدنا في شركة 'القبضة' الشريك المناسب الذي يمكنه أن يحقق لعملائنا المعيشة المنشودة في هذا المجتمع الفريد'. وكشف الزفين عن ضخ استثمارات بأكثر من سبعة مليارات درهم في مشاريع عقارية بمنطقة 'دبي الجنوب' قبل إقامة إكسبو 2020 دبي، موضحا أن نصف هذه الاستثمارات سيتم تنفيذها من قبل المطور الرئيسي في حين سيتولى النصف الآخر مستثمرون من القطاع الخاص. من جانبه، اعتبر المهندس سامر الأشقر، المدير التنفيذي لدى شركة القبضة العالمية لمقاولات البناء، أن من أهم عوامل النجاح لمشروع متفرد مثل 'النبض' هو'الحس التصميمي العالي، وجودة البناء، والتسليم في الموعد المتفق عليه'، معربا عن امتنانه وشكره لدبي الجنوب على 'ثقتها في 'القبضة' واطمئنانها إلى نجاح الشراكة معها'، وقال: 'نحن مطمئنون إلى أن تسليم المشروع سيتم في الوقت المحدد، وسوف نتجاوز توقعات كل من المستثمرين والسكان في النبض'.	دبي الجنوب تعين القبضة شريكا مقاولا لمشروع النبض السكني	371	9
القطاع في بداية السنة الماضية تباطؤا غير مسبوق اذ لم ينجح في النصف الأول سوى في بيع 24 شقة وذلك تأثرا بالإجراءات الواردة في قانون المالية 2018. يقول فهي شعبان رئيس الغرفة النقابية للباعثين العقاريين في تصريح ل«المغرب» إن الأوضاع مازالت على ماهي عليه فهي معطلة الى اليوم نتيجة عديد العوامل وأهمها تأثر القطاع بالترفيع في نسبة الفائدة المديرية وإجراءات أخرى على غرار معلوم حق التسجيل وتأثير ارتفاع المحروقات بالإضافة إلى تأثر القطاع أيضا بالانزلاق الذي يشهده الدينار الأمر الذي اثر في ارتفاع تكلفة المواد الموردة مبينا أن أسعارها تضاعفت ومازالت في منحى تصاعدي. وعن برنامج المسكن الأول قال فهمي شعبان أن البرنامج لم يكن في مستوى الآمال المعلقة عليه وفسر المتحدث هذا الأمر بضعف المقدرة الشرائية للتونسيين. وأشار المتحدث إلى أن معدل المبيعات السنوية في الظروف العادية يقدر ب10 آلاف مسكن. وبين شعبان أن التزامات الباعثين العقاريين تجاه البنوك تقدر ب 5200 مليون دينار وهو رقم ثقيل أمام التراجع الذي يشهده نشاطهم وأضاف المتحدث ان الغرفة تطالب الحكومة باتخاذ قرارات من قبيل وضع نسبة فائدة تفاضلية للمواطن والباعث العقاري بهدف تنشيط المبيعات. كما لفت المتحدث إلى أن التراجع في المبيعات يشمل كل أصناف المساكن من المسكن الأول إلى الشقق الفاخرة والرفيعة. من جهة أخرى شهد مؤشر أسعار العقارات ارتفاعا بنسبة URL خلال الثلاثي الرابع من سنة 2018 مقارنة بالثلاثي الثالث من نفس السنة بعد أن سجل تراجعا بنسبة URL خلال الثلاثي الثالث من سنة 2018 .ويعز ى ذلك بالأساس لتسجيل إرتفاع في أسعار الشقق بنسبة URL والمنازل بنسبة URL بعد أن انخفضت الأسعار خلال الثلاثي الثالث لسنة 2018 بنسبة URL وكان مؤشر الأسعار لشهر افريل المنقضي المتعلق بالسكن والطاقة المنزلية قد ارتفع بنسبة URL في مقارنة بالفترة نفسها من العام المنقضي.	فهمي شعبان رئيس الغرفة النقابية للباعثين العقاريين ل«المغرب»: 5200 مليون دينار التزامات الباعثين العقاريين تجاه البنوك وبرنامج السكن الأول دون المأمول	272	21
اختتمت اليوم فعاليات منتدى ضريبة القيمة المضافة الذي نظمته الهيئة العامة للزكاة والدخل برعاية معالي المحافظ المهندس سهيل بن محمد أبانمي على مدار يومين في مدينة الرياض، وحضره أكثر من 200 مشاركا يمثلون أكثر من 1200 منشأة، حيث يعتبر المنتدى إحدى مساهمات الهيئة لرفع جاهزية المنشآت لتطبيق ضريبة القيمة المضافة قبل 1 يناير 2018. و قد تضمن برنامج المنتدى حلقات نقاش وورش عمل مكثفة حول ضريبة القيمة المضافة إلى جانب إقامة معرض مصاحب أتاح للمنشآت فرصة اللقاء والتعرف على أكثر من 20 شركة ومقدمي خدمات متنوعة مثل: الحلول التقنية والتشغيلية والإدارية والمحاسبية والاستشارية ، والتي تهدف إلى توفير ومساعدة المنشآت بخبرتها وإمكانياتها على زيادة جاهزيتها لتطبيق ضريبة القيمة المضافة. وشهد المنتدى تدشين الهيئة العامة للزكاة والدخل الموقع الإلكتروني الرسمي لضريبة القيمة المضافة URL ، والذي تم تصميمه ليكون منصة إلكترونية ذات خصائص تقنية عالية تقدم مجموعة واسعة من الأدوات والمعلومات التي تعد مرجعا داعم ا للمنشآت الخاضعة للضريبة خلال عملها لتحقيق جاهزيتها من تطبيق الضريبة ، إلى جانب توفير رقم مركز الاتصال الموحد لضريبة القيمة المضافة (1993)، للإجابة على كافة الاستفسارات المتعلقة بتطبيق الضريبة. ويضم الموقع الإلكتروني مواد مرئية توضيحية، وإرشادات، وكذلك تم تزويده ب'أداة الجاهزية لضريبة القيمة المضافة'، الخاصة بالمنشآت لتمكينها من متابعة وتحديث استيفائها لمتطلبات تطبيق ضريبة القيمة المضافة. وحول أهمية المنتدى والنتائج التي حققها، قال معالي المحافظ المهندس سهيل بن محمد أبانمي: 'جاء المنتدى انطلاقا من أهمية المسؤولية التي تقع على عاتق المنشآت بمختلف أحجامها للقيام بالعديد من الإجراءات والترتيبات التقنية والإدارية والتشغيلية لتعزيز جاهزيتها استعدادا لتطبيق ضريبة القيمة المضافة في 1 يناير 2018'، مضيفا في الوقت ذاته 'أن الهيئة مستعدة بشكل تام لدعم المنشآت بكافة المعلومات وفرق العمل للوصول إلى فهم كيفية تطبيق ضريبة القيمة المضافة وبناء جاهزية كاملة' . وأضاف معالي المحافظ 'إن ضمان الجاهزية المثالية للمنشآت، يعتبر أولوية تعمل الهيئة العامة للزكاة والدخل على تحقيقها خلال الأشهر القليلة المقبلة، حيث يأتي تنظيم هذا المنتدى ضمن مجموعة مبادرات لمساعدة المنشآت الخاضعة للضريبة، وتشجيعها على المضي قدما في استعداداتها، والإستفادة من الموارد التي قامت الهيئة بتطويرها في هذا الشأن'.	الهيئة العامة للزكاة والدخل تدشن الموقع الإلكتروني الرسمي ورقم مركز الاتصال الموحد	323	12
